Threshold,TPR,FPR,Slope,Threshold_Label,AUC,difference
280000,0.99795764,0.95408472,0,NA,0.809,0.04387291999999998
282000,0.99795764,0.955219365,0,NA,0.809,0.04273827499999994
284000,0.99795764,0.956202723,0,NA,0.809,0.041754917
286000,0.99795764,0.957488654,0,NA,0.809,0.04046898599999993
288000,0.99795764,0.958472012,0,NA,0.809,0.039485627999999995
290000,0.99795764,0.9596823,0,NA,0.809,0.03827533999999999
292000,0.99795764,0.960816944,0,NA,0.809,0.03714069600000003
294000,0.99795764,0.961951589,0,NA,0.809,0.03600605099999998
296000,0.998335855,0.962859304,0.416666667,NA,0.809,0.03547655100000002
298000,0.998411498,0.964523449,0.045454545,NA,0.809,0.033888048999999976
300000,0.998411498,0.965431165,0,NA,0.809,0.03298033299999992
302000,0.998411498,0.966717095,0,NA,0.809,0.03169440299999993
304000,0.998411498,0.967927383,0,NA,0.809,0.030484114999999923
306000,0.998411498,0.968986384,0,NA,0.809,0.02942511399999992
308000,0.998411498,0.970499244,0,NA,0.809,0.02791225399999997
310000,0.998411498,0.971633888,0,NA,0.809,0.026777610000000007
312000,0.998411498,0.972995461,0,NA,0.809,0.025416036999999947
314000,0.998411498,0.974357035,0,NA,0.809,0.024054462999999915
316000,0.998411498,0.975340393,0,NA,0.809,0.02307110499999998
318000,0.998411498,0.976475038,0,NA,0.809,0.021936459999999935
320000,0.998411498,0.977231467,0,NA,0.809,0.021180030999999988
322000,0.998411498,0.978517398,0,NA,0.809,0.019894099999999915
324000,0.998411498,0.979500756,0,NA,0.809,0.01891074199999998
326000,0.998487141,0.980559758,0.071428571,NA,0.809,0.017927383000000074
328000,0.998487141,0.981618759,0,NA,0.809,0.01686838200000007
330000,0.998487141,0.983509834,0,NA,0.809,0.014977306999999995
332000,0.998487141,0.984341906,0,NA,0.809,0.014145234999999978
334000,0.998487141,0.985627837,0,NA,0.809,0.012859304000000016
336000,0.998487141,0.986535552,0,NA,0.809,0.01195158900000004
338000,0.998487141,0.987443268,0,NA,0.809,0.011043872999999982
340000,0.998487141,0.988804841,0,NA,0.809,0.009682300000000033
342000,0.998789713,0.9897882,0.307692308,NA,0.809,0.009001512999999961
344000,0.999773071,0.9897882,#DIV/0!,NA,0.809,0.009984871000000006
346000,0.999773071,0.990393343,0,NA,0.809,0.009379727999999976
348000,0.999924357,0.991376702,0.153846154,NA,0.809,0.008547654999999987
350000,0.999924357,0.992133132,0,NA,0.809,0.007791225000000068
352000,0.999924357,0.992738275,0,NA,0.809,0.007186082000000038
354000,0.999924357,0.993192133,0,NA,0.809,0.006732224000000064
356000,0.999924357,0.993570348,0,NA,0.809,0.006354009000000049
358000,0.999924357,0.994175492,0,NA,0.809,0.005748865000000047
360000,0.999924357,0.995234493,0,NA,0.809,0.0046898640000000436
362000,0.999924357,0.995763994,0,NA,0.809,0.004160363
364000,0.999924357,0.996142209,0,NA,0.809,0.003782148000000096
366000,0.999924357,0.996217852,0,NA,0.809,0.0037065050000000266
368000,0.999924357,0.996369138,0,NA,0.809,0.0035552189999999984
370000,0.999924357,0.996369138,#DIV/0!,NA,0.809,0.0035552189999999984
372000,0.999924357,0.99667171,0,NA,0.809,0.003252647000000053
374000,0.999924357,0.997125567,0,NA,0.809,0.002798790000000051
376000,0.999924357,0.997428139,0,NA,0.809,0.0024962179999999945
378000,0.999924357,0.99795764,0,NA,0.809,0.0019667170000000622
380000,1,0.998335855,0.2,NA,0.809,0.0016641450000000058
382000,1,0.998411498,0,NA,0.809,0.0015885020000000472
384000,1,0.998487141,0,NA,0.809,0.0015128589999999775
386000,1,0.99871407,0,NA,0.809,0.0012859299999999907
388000,1,0.999016641,0,NA,0.809,9.83359000000017e-4
390000,1,0.999092284,0,NA,0.809,9.077159999999473e-4
392000,1,0.999167927,0,NA,0.809,8.320729999999887e-4
394000,1,0.99924357,0,NA,0.809,7.564300000000301e-4
396000,1,0.999394856,0,NA,0.809,6.051440000000019e-4
398000,1,0.999470499,0,NA,0.809,5.295010000000433e-4
400000,1,0.999470499,#DIV/0!,NA,0.809,5.295010000000433e-4
402000,1,0.999470499,#DIV/0!,NA,0.809,5.295010000000433e-4
404000,1,0.999621785,0,NA,0.809,3.7821500000001507e-4
406000,1,0.999621785,#DIV/0!,NA,0.809,3.7821500000001507e-4
408000,1,0.999697428,0,NA,0.809,3.0257199999994544e-4
410000,1,0.999773071,0,NA,0.809,2.2692899999998684e-4
412000,1,0.999924357,0,NA,0.809,7.56429999999586e-5
414000,1,1,0,NA,0.809,0
416000,1,1,#DIV/0!,NA,0.809,0
418000,1,1,#DIV/0!,NA,0.809,0
420000,1,1,#DIV/0!,NA,0.809,0
